Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
88,0.05,-2167.6585449878794,44,88000,1.0
176,0.05,-1222.709882322764,44,176000,1.0
264,0.05,-352.08362364808494,44,264000,1.0
352,0.05,-373.84697519270594,44,352000,1.0
440,0.05,-383.32702665913536,44,440000,1.0
528,0.05,-370.1219532893053,44,528000,1.0
616,0.05,-336.9988393689697,44,616000,1.0
704,0.05,-262.33905795624827,44,704000,1.0
792,0.05,-248.46411343389988,44,792000,1.0
880,0.05,-235.58427053462552,44,880000,1.0
968,0.05,-223.40031547523552,44,968000,1.0
1056,0.05,-210.73085256440683,44,1056000,1.0
1144,0.05,-198.94291970709563,44,1144000,1.0
1232,0.05,-191.23432359331647,44,1232000,1.0
1320,0.05,-196.5882949444598,44,1320000,1.0
1408,0.05,-205.84346323861288,44,1408000,1.0
1496,0.05,-215.44795917171584,44,1496000,1.0
1584,0.05,-230.81022886691255,44,1584000,1.0
1672,0.05,-162.7623656686949,44,1672000,1.0
1760,0.05,-195.124883121063,44,1760000,1.0
1848,0.05,-204.70486206998376,44,1848000,1.0
1936,0.05,-220.1190046416863,44,1936000,0.6869873801128474
1972,0.05,-212.91591641150444,18,1972000,0.5346462571632281
2008,0.05,-197.08063263220834,18,2008000,0.3246732847571822
2044,0.05,-177.61816591893714,18,2044000,0.2773335511404657
2080,0.05,-181.41414204249523,18,2080000,0.3712567216235384
