Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
464,0.05,-0.9414120185387757,232,464000,1
928,0.05,-1.071899945135672,232,928000,1
1392,0.05,-1.2664246056572581,232,1392000,1
1856,0.05,-1.408970606058449,232,1856000,1
2320,0.05,19.72769331529462,232,2320000,1
2784,0.05,285.07788022354873,232,2784000,1
3248,0.05,537.5151044663295,232,3248000,1
3712,0.05,686.4248298824991,232,3712000,1
4176,0.05,1241.4063198732624,232,4176000,1
4640,0.05,791.0381879490257,232,4640000,1
5104,0.05,761.4969583817393,232,5104000,1
5568,0.05,956.0974615415282,232,5568000,1
6032,0.05,851.2911989970196,232,6032000,1
6496,0.05,695.1599965894131,232,6496000,1
6960,0.05,641.7419797107706,232,6960000,1
7424,0.05,643.550939245516,232,7424000,1
7888,0.05,847.5812383211071,232,7888000,1
8352,0.05,1089.9330555258762,232,8352000,1
8816,0.05,1559.3450736199813,232,8816000,1
9280,0.05,2005.5650492701384,232,9280000,1
9744,0.05,2110.671718975117,232,9744000,1
10208,0.05,1853.5259631828624,232,10208000,1
10672,0.05,1824.7897864436923,232,10672000,1
11136,0.05,1844.9444348894242,232,11136000,1
11600,0.05,1825.9078046761333,232,11600000,1
12064,0.05,719.5675708489332,232,12064000,1
12528,0.05,1474.7854822073034,232,12528000,1
12992,0.05,1523.388728153828,232,12992000,1
13456,0.05,1465.048498400414,232,13456000,1
13920,0.05,1425.3129780239103,232,13920000,1
14384,0.05,1645.0354314786662,232,14384000,1
14848,0.05,1933.2117138133567,232,14848000,1
15312,0.05,1849.4768871307506,232,15312000,1
15776,0.05,2033.5428642699862,232,15776000,1
16240,0.05,1936.8561578226575,232,16240000,1
16704,0.05,2218.063716167785,232,16704000,1
17168,0.05,2139.109546948928,232,17168000,1
17632,0.05,2263.502235493358,232,17632000,1
18096,0.05,2307.595448450832,232,18096000,1
18560,0.05,2458.5987543673878,232,18560000,1
19024,0.05,2491.906309049672,232,19024000,1
19488,0.05,2330.1181567698304,232,19488000,1
19952,0.05,2396.0562744406184,232,19952000,1
20416,0.05,2411.860200110656,232,20416000,1
20880,0.05,2460.4814108145656,232,20880000,1
21344,0.05,2435.8589169738116,232,21344000,1
21808,0.05,2644.205606479525,232,21808000,1
22272,0.05,2570.401704579153,232,22272000,1
22736,0.05,2673.124643937038,232,22736000,1
23200,0.05,2682.500885166356,232,23200000,1
23664,0.05,2555.532978892147,232,23664000,1
24128,0.05,2758.754399769615,232,24128000,1
24592,0.05,2690.830604197617,232,24592000,1
25056,0.05,2565.0820222665093,232,25056000,1
25520,0.05,2688.9180920549943,232,25520000,1
25984,0.05,2729.524607976533,232,25984000,1
26448,0.05,2711.4351195842537,232,26448000,1
26912,0.05,2685.4398044416944,232,26912000,1
27376,0.05,2803.9301418846135,232,27376000,1
27840,0.05,2663.784355911798,232,27840000,1
28304,0.05,2659.680064334696,232,28304000,1
28768,0.05,2681.4475098682624,232,28768000,1
29232,0.05,2647.6048690655207,232,29232000,1
29696,0.05,2749.7680529758213,232,29696000,1
30160,0.05,2732.0819236409634,232,30160000,1
30624,0.05,2727.9641444927806,232,30624000,1
31088,0.05,2908.7796332121575,232,31088000,1
31552,0.05,2826.509704431747,232,31552000,1
32016,0.05,2665.176025716875,232,32016000,1
32480,0.05,2658.001271882582,232,32480000,1
32944,0.05,2724.0821991854214,232,32944000,1
33408,0.05,2692.339232563798,232,33408000,1
33872,0.05,2798.336474651783,232,33872000,1
34336,0.05,2851.326648429223,232,34336000,1
34800,0.05,2820.6984715507942,232,34800000,1
35264,0.05,2787.0754449396995,232,35264000,1
35728,0.05,2825.0511047993036,232,35728000,1
36192,0.05,2718.2879797485716,232,36192000,1
36656,0.05,2784.9299975476883,232,36656000,1
37120,0.05,2905.795478230563,232,37120000,1
37584,0.05,2848.9200301470914,232,37584000,1
38048,0.05,2921.8103619309395,232,38048000,1
38512,0.05,2751.129336963242,232,38512000,1
38976,0.05,2851.885046273697,232,38976000,1
39440,0.05,2764.669768833248,232,39440000,1
39904,0.05,2905.5471445322787,232,39904000,1
40368,0.05,2784.9322367993627,232,40368000,1
40832,0.05,2749.223595342983,232,40832000,1
41296,0.05,2836.8006543960114,232,41296000,1
41760,0.05,2771.593406405665,232,41760000,1
42224,0.05,2798.052518123585,232,42224000,1
42688,0.05,2877.404633645689,232,42688000,1
43152,0.05,3014.7424678352086,232,43152000,1
43616,0.05,2928.2053239692914,232,43616000,1
44080,0.05,3060.6787652509984,232,44080000,1
44544,0.05,2849.5900829896555,232,44544000,1
45008,0.05,2992.2024523597356,232,45008000,1
45472,0.05,2955.834250493626,232,45472000,1
45936,0.05,3014.31758873462,232,45936000,1
