Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
464,0.05,-0.9441891729220291,232,464000,1
928,0.05,-1.0265789284399032,232,928000,1
1392,0.05,-1.4601556591381455,232,1392000,1
1856,0.05,-2.3256843252536816,232,1856000,1
2320,0.05,402.80221713829445,232,2320000,1
2784,0.05,-332.74768135633946,232,2784000,1
3248,0.05,935.5746244035386,232,3248000,1
3712,0.05,29.02994987857996,232,3712000,1
4176,0.05,69.55069939305302,232,4176000,1
4640,0.05,341.86348954637117,232,4640000,1
5104,0.05,992.8526765995215,232,5104000,1
5568,0.05,-116.44074181849788,232,5568000,1
6032,0.05,-115.32395421584357,232,6032000,1
6496,0.05,221.9288198337584,232,6496000,1
6960,0.05,907.3462087510081,232,6960000,1
7424,0.05,592.2251232172886,232,7424000,1
7888,0.05,505.3283158560301,232,7888000,1
8352,0.05,648.8304795386214,232,8352000,1
8816,0.05,859.6467188494482,232,8816000,1
9280,0.05,1123.8348235132735,232,9280000,1
9744,0.05,1328.652637406931,232,9744000,1
10208,0.05,1432.1575114537625,232,10208000,1
10672,0.05,1426.6683940330568,232,10672000,1
11136,0.05,1399.7219491429887,232,11136000,1
11600,0.05,1329.175895120047,232,11600000,1
12064,0.05,1197.884457199444,232,12064000,1
12528,0.05,1198.3815039214376,232,12528000,1
12992,0.05,1229.504565406115,232,12992000,1
13456,0.05,1216.5498945511379,232,13456000,1
13920,0.05,1349.309131330451,232,13920000,1
14384,0.05,1296.2885453429863,232,14384000,1
14848,0.05,1476.7044475421756,232,14848000,1
15312,0.05,2018.8317399751347,232,15312000,1
15776,0.05,2028.988338078221,232,15776000,1
16240,0.05,2062.5386160706585,232,16240000,1
16704,0.05,1868.4858693706265,232,16704000,1
17168,0.05,1538.0354107194416,232,17168000,1
17632,0.05,1648.30029402374,232,17632000,1
18096,0.05,1609.1127454810357,232,18096000,1
18560,0.05,1438.475874617705,232,18560000,1
19024,0.05,1514.2091932364444,232,19024000,1
19488,0.05,1564.0993763834128,232,19488000,1
19952,0.05,1483.2255047184408,232,19952000,1
20416,0.05,1500.1568573124443,232,20416000,1
20880,0.05,1423.08897048964,232,20880000,1
21344,0.05,1539.3261937735683,232,21344000,1
21808,0.05,1690.4455202349145,232,21808000,1
22272,0.05,1714.054063794402,232,22272000,1
22736,0.05,1733.975151223495,232,22736000,1
23200,0.05,1712.8079663875299,232,23200000,1
23664,0.05,1806.4906041239694,232,23664000,1
24128,0.05,1721.9113400702313,232,24128000,1
24592,0.05,1717.4231227187001,232,24592000,1
25056,0.05,1646.3542762979453,232,25056000,1
25520,0.05,1611.181568787703,232,25520000,1
25984,0.05,1806.4554080477205,232,25984000,1
26448,0.05,1913.3215517674648,232,26448000,1
26912,0.05,1919.1382785629853,232,26912000,1
27376,0.05,1844.4355934197686,232,27376000,1
27840,0.05,1802.6915372244832,232,27840000,1
28304,0.05,1720.754427382262,232,28304000,1
28768,0.05,1806.8799368706268,232,28768000,1
29232,0.05,1836.4923529726755,232,29232000,1
29696,0.05,1932.0511660652016,232,29696000,1
30160,0.05,2043.2663030168958,232,30160000,1
30624,0.05,2003.3973995188294,232,30624000,1
31088,0.05,1888.215944452384,232,31088000,1
31552,0.05,1931.7197448001148,232,31552000,1
32016,0.05,1996.8999827362882,232,32016000,1
32480,0.05,1906.5123255926464,232,32480000,1
32944,0.05,1764.9111766012134,232,32944000,1
33408,0.05,1742.1717902802595,232,33408000,1
33872,0.05,1836.613084477135,232,33872000,1
34336,0.05,1947.3873641906746,232,34336000,1
34800,0.05,1985.9321555907218,232,34800000,1
35264,0.05,2042.3050394038112,232,35264000,1
35728,0.05,1935.8698291718354,232,35728000,1
36192,0.05,1839.3951602941963,232,36192000,1
36656,0.05,1827.9503899870476,232,36656000,1
37120,0.05,1894.289899169245,232,37120000,1
37584,0.05,1771.716088061898,232,37584000,1
38048,0.05,1923.0590551021364,232,38048000,1
38512,0.05,1974.5281369498605,232,38512000,1
38976,0.05,2020.8398437472968,232,38976000,1
39440,0.05,1976.8688545266766,232,39440000,1
39904,0.05,1955.2745665671455,232,39904000,1
40368,0.05,2007.1956159812205,232,40368000,1
40832,0.05,1864.9493459962428,232,40832000,1
41296,0.05,1925.2656798284054,232,41296000,1
41760,0.05,2092.7929173342504,232,41760000,1
42224,0.05,2117.984711963212,232,42224000,1
42688,0.05,2100.9256739543043,232,42688000,1
43152,0.05,2100.0193045700244,232,43152000,1
43616,0.05,2057.488438312392,232,43616000,1
44080,0.05,2048.006018706035,232,44080000,1
44544,0.05,1957.4946446992349,232,44544000,1
45008,0.05,2024.4478270714112,232,45008000,1
45472,0.05,2102.3762562434717,232,45472000,1
45936,0.05,2136.9388819602873,232,45936000,1
