Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
464,0.05,105.22212251682602,232,464000,1.0
928,0.05,436.68386962190294,232,928000,1.0
1392,0.05,175.45547558961601,232,1392000,1.0
1856,0.05,282.68206355349656,232,1856000,1.0
2320,0.05,269.9760281200557,232,2320000,1.0
2784,0.05,446.96540815077225,232,2784000,1.0
3248,0.05,335.31687047457757,232,3248000,1.0
3712,0.05,399.32993018612035,232,3712000,1.0
4176,0.05,412.46344181313896,232,4176000,1.0
4640,0.05,425.84838070013694,232,4640000,1.0
5104,0.05,370.57451250677815,232,5104000,1.0
5568,0.05,246.06706031135124,232,5568000,1.0
6032,0.05,402.9112595760442,232,6032000,1.0
6496,0.05,523.359529135303,232,6496000,1.0
6960,0.05,233.20515983886892,232,6960000,1.0
7424,0.05,461.734010934614,232,7424000,1.0
7888,0.05,336.32782185953033,232,7888000,1.0
8352,0.05,435.6066750112622,232,8352000,1.0
8816,0.05,330.8027982644783,232,8816000,1.0
9280,0.05,170.89479547269843,232,9280000,1.0
9744,0.05,285.1929477657582,232,9744000,1.0
10208,0.05,446.28365031964745,232,10208000,1.0
10672,0.05,31.408362916034715,232,10672000,1.0
11136,0.05,338.16888880609116,232,11136000,1.0
11600,0.05,386.5140317135099,232,11600000,1.0
12064,0.05,485.2983941026233,232,12064000,1.0
12528,0.05,415.30287516848887,232,12528000,1.0
12992,0.05,204.84741571482618,232,12992000,1.0
13456,0.05,375.0451568034984,232,13456000,1.0
13920,0.05,382.0846845908114,232,13920000,1.0
14384,0.05,521.376246942338,232,14384000,1.0
14848,0.05,343.3617457861804,232,14848000,1.0
15312,0.05,332.4334764604166,232,15312000,1.0
15776,0.05,534.964725247142,232,15776000,1.0
16240,0.05,396.5572193569531,232,16240000,1.0
16704,0.05,354.22742140108755,232,16704000,1.0
17168,0.05,490.9888212892578,232,17168000,1.0
17632,0.05,377.4159535792441,232,17632000,1.0
18096,0.05,428.9935616106431,232,18096000,1.0
18560,0.05,362.5757979381587,232,18560000,1.0
19024,0.05,361.865720418893,232,19024000,1.0
19488,0.05,298.81638600944666,232,19488000,1.0
19952,0.05,289.16522694369274,232,19952000,1.0
20416,0.05,502.30692206223927,232,20416000,1.0
20880,0.05,406.87492779455175,232,20880000,1.0
21344,0.05,298.10949340392614,232,21344000,1.0
21808,0.05,356.22731464348215,232,21808000,1.0
