Rollouts,Learning Rate,Reward,Samples,Timesteps
0,5.960464477539063e-08,43.70565129209313,0,0
132,5.960464477539063e-08,99.27466891291253,66,3871
264,5.960464477539063e-08,316.8096974476442,66,13928
396,5.960464477539063e-08,577.2340998875644,66,59227
528,5.960464477539063e-08,579.2716029601253,66,109609
660,5.960464477539063e-08,693.1544848122347,66,159671
792,5.960464477539063e-08,736.6828980023091,66,208459
924,5.960464477539063e-08,794.6799900906105,66,260401
1056,5.960464477539063e-08,846.2221975533381,66,311939
1188,5.960464477539063e-08,851.3045521028716,66,366910
1320,5.960464477539063e-08,948.5353306975527,66,417431
1452,5.960464477539063e-08,948.5353306974793,66,494199
1584,5.960464477539063e-08,1014.2545860571705,66,546822
1716,5.960464477539063e-08,1017.868459824656,66,601419
1848,5.960464477539063e-08,1018.1453135606658,66,657384
1980,5.960464477539063e-08,1019.4463459732394,66,715084
2112,5.960464477539063e-08,1019.543504594267,66,775622
2244,5.960464477539063e-08,1019.710374619031,66,832729
2376,5.960464477539063e-08,1019.7269905106284,66,892005
