Rollouts,Learning Rate,Reward,Samples,Timesteps
0,6.103515625e-05,45.278291276495864,0,0
132,6.103515625e-05,68.55940777454558,66,3538
264,6.103515625e-05,102.14727970181838,66,9275
396,6.103515625e-05,154.63426129267697,66,21238
528,6.103515625e-05,245.7429442180862,66,38966
660,6.103515625e-05,269.04908574495886,66,64942
792,6.103515625e-05,415.09430317556365,66,93715
924,6.103515625e-05,494.96700083151126,66,132372
1056,6.103515625e-05,509.80478720903534,66,169389
1188,6.103515625e-05,510.6108289995103,66,208127
1320,6.103515625e-05,510.70322280438984,66,251718
1452,6.103515625e-05,500.57312539782333,66,298224
1584,6.103515625e-05,506.59016411923903,66,333006
1716,6.103515625e-05,485.67861126191804,66,379097
1848,6.103515625e-05,489.4572798656819,66,415837
1980,6.103515625e-05,490.05495743306693,66,453700
2112,6.103515625e-05,499.7615429207276,66,490457
2244,6.103515625e-05,526.2521826310634,66,536833
2376,6.103515625e-05,565.6210248636411,66,583052
2508,6.103515625e-05,570.1856814864614,66,634337
2640,6.103515625e-05,571.3064467569944,66,692391
2772,6.103515625e-05,575.8250999403157,66,743602
2904,6.103515625e-05,576.2299203578525,66,798833
3036,6.103515625e-05,586.8814039505098,66,847744
3168,6.103515625e-05,592.1972990978318,66,899696
3300,6.103515625e-05,605.3423686637618,66,950870
3432,6.103515625e-05,606.5474995255626,66,1003788
3564,6.103515625e-05,607.0919884295847,66,1059131
3696,6.103515625e-05,611.7387689823577,66,1113567
3828,6.103515625e-05,612.9691675060778,66,1169361
3960,6.103515625e-05,642.953626197393,66,1216903
4092,6.103515625e-05,707.4587968055703,66,1259064
4224,6.103515625e-05,742.9878369165617,66,1307480
4356,6.103515625e-05,745.7476928162196,66,1355908
4488,6.103515625e-05,751.3209143996452,66,1405840
4620,6.103515625e-05,899.6573562422196,66,1453218
4752,6.103515625e-05,936.8668643937365,66,1506256
4884,6.103515625e-05,764.9921905147106,66,1569119
5016,6.103515625e-05,812.3175208835256,66,1618778
5148,6.103515625e-05,833.1638424438074,66,1676746
5280,6.103515625e-05,956.2117402873716,66,1723162
5412,6.103515625e-05,1028.7903275431274,66,1792240
5544,6.103515625e-05,1079.1446056805637,66,1871341
5676,6.103515625e-05,722.6674535371529,66,1949357
5808,6.103515625e-05,761.0296937328923,66,2007816
5940,6.103515625e-05,873.0000110441389,66,2065023
6072,6.103515625e-05,1094.991480626711,66,2121286
6204,6.103515625e-05,669.9117014428205,66,2203118
6336,6.103515625e-05,826.8946924590651,66,2265727
6468,6.103515625e-05,837.2973918296971,66,2337672
6600,6.103515625e-05,890.9390195286072,66,2402926
6732,6.103515625e-05,949.4896781349543,66,2468321
6864,6.103515625e-05,953.042736969558,66,2539382
6996,6.103515625e-05,968.7689010393648,66,2619163
7128,6.103515625e-05,986.5092094349161,66,2693172
7260,6.103515625e-05,698.3789014414862,66,2782794
7392,6.103515625e-05,920.3688938408187,66,2844395
7524,6.103515625e-05,938.6274955939965,66,2905371
