Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
132,0.05,54.44753236146471,66,3387,1.0
264,0.05,59.187004781432066,66,7410,1.0
396,0.05,63.489100193568994,66,12995,1.0
528,0.05,67.91313827339025,66,19234,1.0
660,0.05,73.16668350992956,66,26142,1.0
792,0.05,78.2718259843581,66,34179,1.0
924,0.05,90.94146419431993,66,44489,1.0
1056,0.05,111.69676701106913,66,57713,1.0
1188,0.05,144.7477963250875,66,72267,1.0
1320,0.05,201.6626300700429,66,92138,1.0
1452,0.05,327.58293032790664,66,116821,1.0
1584,0.05,859.2945975247677,66,150819,1.0
1716,0.05,628.0251434502142,66,183993,1.0
1848,0.05,493.10413942059466,66,227300,1.0
1980,0.05,491.0880842153223,66,269068,1.0
2112,0.05,579.9848330256601,66,310879,1.0
2244,0.05,778.85389914451,66,363733,1.0
2376,0.05,977.4516123181744,66,422490,1.0
2508,0.05,990.949306671258,66,492780,1.0
2640,0.05,1000.9429004032493,66,568737,1.0
2772,0.05,1006.8260561096886,66,648578,1.0
2904,0.05,1008.8018200381805,66,722487,1.0
3036,0.05,1008.5626234694428,66,808579,1.0
3168,0.05,1006.6700241401276,66,902346,1.0
3300,0.05,1003.7395963206078,66,1001473,1.0
3432,0.05,999.9079121862156,66,1093840,1.0
3564,0.05,996.6470807572396,66,1195374,1.0
3696,0.05,995.2114059793723,66,1298491,1.0
3828,0.05,995.0762507767312,66,1413102,1.0
3960,0.05,996.1086268675988,66,1533327,1.0
4092,0.05,997.5230505686593,66,1650257,1.0
4224,0.05,999.3036583847261,66,1762768,1.0
4356,0.05,1000.2912865636902,66,1883226,0.32302915441146274
4408,0.05,1001.7497127150394,26,1932729,0.26088405821369165
4460,0.05,1002.9524420591139,26,1980433,0.2428111970701608
4512,0.05,1003.3701031942674,26,2028871,0.2396764991867332
4564,0.05,1003.9215884418209,26,2076389,0.3370054089203684
4616,0.05,1004.4871544445394,26,2128076,0.23493887393866833
4670,0.05,1005.1038860236698,27,2180575,0.17581983581966334
4724,0.05,1005.4217534660004,27,2231609,0.2502173136396202
4778,0.05,1005.5547234607413,27,2285153,0.4015870498048674
4832,0.05,1005.0258623256176,27,2336575,0.24512125006328986
4886,0.05,1004.0333546873304,27,2388782,0.1764071044998548
4940,0.05,1003.8559963356897,27,2442782,0.13201634929227948
4994,0.05,1003.5173036868296,27,2496206,0.22702825295397913
5050,0.05,1003.5121038316327,28,2552023,0.17693547805272736
5106,0.05,1003.179572031855,28,2607116,0.27886661181688005
5162,0.05,1002.803103661551,28,2662796,0.2797772485138583
5218,0.05,1002.1072507112999,28,2717696,0.24634767290778747
5274,0.05,1001.0794357959376,28,2772139,0.17056748625086723
5330,0.05,1000.7948973324455,28,2828131,0.17624424625804588
5388,0.05,1001.0544511492824,29,2886131,0.2146026663796162
5446,0.05,1001.8436844204743,29,2944131,0.1688937374635047
5504,0.05,1003.0076069124725,29,3002131,0.17212093728618238
5562,0.05,1004.4713489989723,29,3059982,0.25711196917969376
5620,0.05,1006.2487933317725,29,3117982,0.20275943814958516
5678,0.05,1007.5387981376981,29,3175084,0.20782388544144015
5736,0.05,1008.6000031380793,29,3232682,0.24708677469090728
5794,0.05,1009.0853376820253,29,3288461,0.1857408539869439
5852,0.05,1009.1656414327634,29,3345334,0.237390648356781
5910,0.05,1008.8742887789617,29,3401993,0.11982903120764855
5968,0.05,1008.3651484606577,29,3459079,0.2317013276928096
6026,0.05,1007.6540835237191,29,3516194,0.2465961801726869
6086,0.05,1006.690589527989,30,3574986,0.08480440392813336
6146,0.05,1005.5783746129961,30,3634183,0.1179934090191728
6206,0.05,1005.0776715714871,30,3694183,0.14606037654821152
6266,0.05,1004.2792048772037,30,3752933,0.20220142637577052
6326,0.05,1004.0186166548688,30,3812933,0.19219990375237844
6386,0.05,1004.2106253780311,30,3872933,0.2838783626916248
6446,0.05,1004.3251837523914,30,3931613,0.1038848949459873
6506,0.05,1004.935818557449,30,3991613,0.04691784185044362
6566,0.05,1005.8342507248013,30,4051613,0.21626599722052803
6626,0.05,1007.0268749328192,30,4111613,0.14754025427189724
6686,0.05,1008.456760555066,30,4171613,0.11100548826457379
6746,0.05,1009.4578027359354,30,4230444,0.24355045340792278
6806,0.05,1010.7112390784577,30,4290444,0.18019791508647462
6866,0.05,1011.6403997836069,30,4348219,0.05943617247921034
6926,0.05,1012.086982162825,30,4405460,0.09792246977808029
6986,0.05,1012.1315007336053,30,4463699,0.1759669608844978
7046,0.05,1012.5042594521369,30,4523699,0.04329930921429055
7106,0.05,1012.776637368056,30,4583465,0.3911326851877178
7168,0.05,1012.789350292214,31,4644400,0.14927119599776015
7230,0.05,1012.5623206948204,31,4704950,0.06313221464545404
7292,0.05,1012.2915263859829,31,4766547,0.23538550871406405
7354,0.05,1012.3602592047196,31,4828547,0.14761949209283626
7416,0.05,1012.2508319687493,31,4888407,0.20372038068235385
7478,0.05,1012.0327109665645,31,4949902,0.1924170320174335
7540,0.05,1011.5466647146243,31,5009423,0.1188603547997298
7602,0.05,1011.4506697969946,31,5071423,0.16232391405201954
7664,0.05,1011.2171372344297,31,5132774,0.18159871321526375
7726,0.05,1010.9012250455005,31,5194344,0.1383188582665623
7788,0.05,1010.3217992569648,31,5252946,0.05468379698404087
7850,0.05,1009.6641201237883,31,5314398,0.15484696314233384
7912,0.05,1008.8094497805533,31,5373850,0.04021051022968977
7974,0.05,1007.8664683980435,31,5435271,0.40569969023234603
8036,0.05,1007.3819735029999,31,5497271,0.07877081146915263
8098,0.05,1007.285766937365,31,5559271,0.006210605333065943
8160,0.05,1007.1307807862077,31,5620991,0.1949280858763407
8222,0.05,1007.3565346577611,31,5682991,0.08882064564314533
8284,0.05,1007.90261415631,31,5744991,0.08359853083576145
8346,0.05,1008.71197811688,31,5806991,0.14477146143211805
