Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.4210854715202004e-14,6.7581408965422565,0,0
64,1.4210854715202004e-14,241.63365408120396,32,66000
128,1.4210854715202004e-14,242.5288677240101,32,133000
192,1.4210854715202004e-14,352.58678063127286,32,200000
256,1.4210854715202004e-14,352.81350276298036,32,268000
320,1.4210854715202004e-14,354.21297335265,32,338000
384,1.4210854715202004e-14,358.7335740441188,32,408000
448,1.4210854715202004e-14,358.7838756225156,32,480000
512,1.4210854715202004e-14,360.39087081142895,32,547000
576,1.4210854715202004e-14,360.6675127785144,32,622000
640,1.4210854715202004e-14,366.08969724823646,32,691000
704,1.4210854715202004e-14,366.114758354097,32,773000
768,1.4210854715202004e-14,367.5295913614321,32,863000
832,1.4210854715202004e-14,367.66893230245995,32,951000
896,1.4210854715202004e-14,367.6539645112468,32,1051000
960,1.4210854715202004e-14,367.6676841801076,32,1143000
1024,1.4210854715202004e-14,367.68113699174506,32,1237000
1088,1.4210854715202004e-14,367.685724376453,32,1331000
1152,1.4210854715202004e-14,367.69503930302864,32,1420000
