Rollouts,Learning Rate,Reward,Samples,Timesteps
0,0.015625,-13.97394004885699,0,0
64,0.015625,150.3581403337996,32,66000
128,0.015625,327.59274673523225,32,132000
192,0.015625,366.3419214706182,32,199000
256,0.015625,367.0031971265999,32,271000
320,0.015625,367.4706512611595,32,341000
384,0.015625,367.5175253951541,32,416000
448,0.015625,367.5872681432206,32,492000
512,0.015625,367.64526534300467,32,568000
576,0.015625,367.64539879418584,32,645000
640,0.015625,367.6453987941869,32,737000
704,0.015625,367.78110319048324,32,806000
