Rollouts,Reward,Samples,Timesteps,Alpha
200,20.15413778522435,100,200000,1.0
400,21.76851583037552,100,400000,1.0
600,25.031440426170597,100,600000,1.0
800,30.56675613729363,100,800000,1.0
1000,30.352130314798575,100,1000000,1.0
1200,25.206510349888024,100,1200000,1.0
1400,28.412616882596428,100,1400000,1.0
1600,33.85520238048304,100,1600000,1.0
1800,34.90028851541897,100,1800000,1.0
2000,34.23159887092387,100,2000000,1.0
2200,34.646149913296846,100,2200000,1.0
2400,34.81216788180898,100,2400000,1.0
2600,34.39197722664628,100,2600000,1.0
2800,34.533130027162144,100,2800000,1.0
3000,34.41739789834011,100,3000000,1.0
3200,34.53333479098866,100,3200000,1.0
3400,34.17598077018687,100,3400000,1.0
3600,34.93632671111246,100,3600000,1.0
3800,35.30646818421252,100,3800000,1.0
4000,34.241860492291636,100,4000000,1.0
4200,35.23895357210663,100,4200000,1.0
4400,35.42899783724368,100,4400000,1.0
4600,34.90385644673864,100,4600000,1.0
4800,35.49295912252194,100,4800000,1.0
5000,35.841924151767685,100,5000000,1.0
5200,35.852905933486376,100,5200000,1.0
5400,35.96190203596245,100,5400000,1.0
5600,35.4181173173837,100,5600000,1.0
5800,35.36589298020279,100,5800000,1.0
6000,35.24183096503883,100,6000000,1.0
6200,34.90375472648377,100,6200000,1.0
6400,35.0702874630369,100,6400000,1.0
6600,34.99358995857099,100,6600000,1.0
6800,36.167973786268504,100,6800000,1.0
7000,36.19589532162498,100,7000000,1.0
7200,35.50891666572129,100,7200000,1.0
7400,35.36317481295233,100,7400000,1.0
7600,35.16993919424671,100,7600000,1.0
7800,36.062667015543674,100,7800000,1.0
8000,35.26008366148553,100,8000000,1.0
8200,36.11835905288645,100,8200000,1.0
8400,36.017414995924504,100,8400000,1.0
8600,35.40613709510904,100,8600000,1.0
8800,35.87622723732714,100,8800000,1.0
9000,37.25629909382009,100,9000000,1.0
9200,36.28974763040824,100,9200000,1.0
9400,36.45158294630993,100,9400000,1.0
9600,36.73647786202367,100,9600000,1.0
9800,36.37590276942007,100,9800000,1.0
10000,35.24746427055963,100,10000000,1.0
10200,36.46427514010294,100,10200000,1.0
10400,37.93572351604753,100,10400000,1.0
10600,36.83758413126496,100,10600000,1.0
10800,37.84983088815864,100,10800000,1.0
11000,35.91954208780383,100,11000000,1.0
11200,36.45237603742837,100,11200000,1.0
11400,38.099538644001036,100,11400000,1.0
11600,41.0602101475384,100,11600000,1.0
11800,40.49822631487523,100,11800000,1.0
12000,38.142242765028165,100,12000000,1.0
12200,39.80062525892613,100,12200000,1.0
12400,38.86398566267016,100,12400000,1.0
12600,40.551296238182836,100,12600000,1.0
12800,42.08881551436642,100,12800000,1.0
13000,43.70588491134311,100,13000000,1.0
13200,43.89795254080114,100,13200000,1.0
13400,43.4465109122061,100,13400000,1.0
13600,42.207101939091054,100,13600000,1.0
13800,41.05531769968923,100,13800000,0.2633959007886977
13932,41.416287623640635,66,13932000,0.13462655686405153
14066,43.456880454926946,67,14066000,0.06431838958506692
14200,43.912282957928646,67,14200000,0.2667030546549744
14336,44.470635945210134,68,14336000,0.03768353146593831
14474,44.587438690958116,69,14474000,0.2877468806689852
14614,44.31939173371839,70,14614000,0.05026786873068725
14756,44.117670388837006,71,14756000,0.22105431187349997
14900,43.6549192133723,72,14900000,0.1582713450526507
15044,44.31840417148869,72,15044000,0.14069678875914993
15190,45.19011759746487,73,15190000,0.09111818517168872
15338,45.3244324617247,74,15338000,0.1322963939499813
15488,45.636041904147596,75,15488000,0.17574218100766775
15640,45.67825533699993,76,15640000,0.13030745106908362
15794,45.69316573220521,77,15794000,0.1499876760945082
15950,45.70509079342165,78,15950000,0.1972110075188157
16106,43.516706228302134,78,16106000,0.14483703875534296
16264,45.37348321834378,79,16264000,0.18467408454961043
16424,44.669932034187035,80,16424000,0.0788462924439928
16586,45.74248176736886,81,16586000,0.1808201799999779
16748,45.54089841188948,81,16748000,0.20351949124799906
16912,45.400425689824985,82,16912000,0.14635839572423193
17078,45.84142762652008,83,17078000,0.16026999481380913
17244,45.91005826613102,83,17244000,0.1496836653248401
17412,46.02274032904739,84,17412000,0.2258387876507806
17582,45.942202545404854,85,17582000,0.20051415751753093
17754,46.00936185403562,86,17754000,0.16343120083740648
17926,46.045421379910316,86,17926000,0.2092549745793125
18100,45.920938904045826,87,18100000,0.18029381972633754
18276,46.01277454773362,88,18276000,0.09324721756269912
18454,46.133517505668536,89,18454000,0.17832991035576365
18632,45.64678525480867,89,18632000,0.2555892386071208
18812,46.15306717756895,90,18812000,0.24494442262075805
18994,46.16599247440099,91,18994000,0.16282565657279105
19176,46.245827056319065,91,19176000,0.2409796532008317
19360,46.157946403083514,92,19360000,0.17439310677808062
19546,46.304185915621346,93,19546000,0.24975946167404625
19732,46.485248562946005,93,19732000,0.15439690501609182
19920,46.50675390699375,94,19920000,0.18265124585032425
20110,46.528145137629934,95,20110000,0.22816429010614558
20300,46.256853849686166,95,20300000,0.18934133340484416
20492,45.954365545108736,96,20492000,0.20984010907162673
20686,46.05694093656947,97,20686000,0.15853408365979893
20880,45.99072547258939,97,20880000,0.2970011244779064
21076,45.837363666501695,98,21076000,0.2301433095544963
21274,46.461530530562655,99,21274000,0.1958133963685736
21472,46.4438352989374,99,21472000,0.2587203898827676
21672,46.44058425374325,100,21672000,0.23236109085519058
21872,46.3624999890948,100,21872000,0.23152673822872394
22074,46.04591015530702,101,22074000,0.20538067444166214
22278,46.17909333427626,102,22278000,0.21646256505082195
22482,46.36836055938242,102,22482000,0.20708280718892133
22686,46.040280829089916,102,22686000,0.26788554511504886
22892,45.952761064501345,103,22892000,0.1482789160725591
23098,46.28012789984742,103,23098000,0.19792012415468205
23306,46.386156076789334,104,23306000,0.16631017274553528
23514,46.012044129541955,104,23514000,0.21384283272943555
23724,46.42597128160082,105,23724000,0.2198067522342857
23934,46.42562986185967,105,23934000,0.2182725679745987
24146,46.44632648642379,106,24146000,0.20172695444340355
24358,46.50241678498746,106,24358000,0.2702814349344334
24572,46.44294420930557,107,24572000,0.18727523947238645
24786,46.497946462340614,107,24786000,0.2154356054763935
25002,45.79583850658184,108,25002000,0.18440723220405755
25218,46.3805558510354,108,25218000,0.28252513993680656
25436,46.51789080396441,109,25436000,0.2504131366669386
25654,46.524671547461686,109,25654000,0.2323099609403915
25872,46.3832567128299,109,25872000,0.24201953090487055
26092,46.29556666106023,110,26092000,0.2134044163945847
26312,46.34670919343472,110,26312000,0.40580834849476644
26534,45.83474743200727,111,26534000,0.23137464905981756
26756,46.54767563275405,111,26756000,0.24435739564244607
26980,46.36093414110677,112,26980000,0.23839925336634699
27204,46.326021865304064,112,27204000,0.3333037473740285
27428,46.27378950406614,112,27428000,0.27750646027180187
27654,46.05695863381613,113,27654000,0.24881057187028083
27880,46.15980068353474,113,27880000,0.2909821506896358
28106,46.15254832634283,113,28106000,0.32357547920502544
28332,46.28281447972402,113,28332000,0.31523267897281404
28560,46.43763579504864,114,28560000,0.32763509085276854
28788,46.380474566874085,114,28788000,0.2802747498702192
29016,46.29881618998598,114,29016000,0.27833878331651957
29244,46.08939808514182,114,29244000,0.2908071081552166
29474,46.27374292846191,115,29474000,0.2580053818582911
29704,46.1889857057481,115,29704000,0.31048200386444397
29936,46.333939835303525,116,29936000,0.33875531398599446
30168,46.25457298636904,116,30168000,0.28565258263411003
30400,46.014773575265416,116,30400000,0.3163825190866289
30632,45.9659528007322,116,30632000,0.34205804027221515
30866,46.47574899545585,117,30866000,0.30767008963159703
31100,46.54552773020219,117,31100000,0.3679779115589698
31334,46.5235655804494,117,31334000,0.30707906277008096
31570,46.49413981800746,118,31570000,0.36068237486418725
31806,45.76970478899521,118,31806000,0.31599701549700904
32042,46.02549122193754,118,32042000,0.295364937877245
32280,46.36687715609477,119,32280000,0.3422693951469121
32518,46.312651385854295,119,32518000,0.30177050557367174
32756,46.31918459626061,119,32756000,0.4128329422362299
32994,46.434693339624566,119,32994000,0.3427209054390699
33234,46.24441305115834,120,33234000,0.3450052509465312
