Rollouts,Learning Rate,Reward,Samples,Timesteps
0,0.05,-0.8953105658199186,0,0
464,0.05,-0.8953080463642604,232,466000
928,0.05,-0.8953439997318244,232,932000
1392,0.05,-0.8953752012912162,232,1398000
1856,0.05,-0.8953884826898669,232,1864000
2320,0.05,-0.8954463578335347,232,2330000
2784,0.05,-0.8955397422030789,232,2796000
3248,0.05,-0.8954961658236473,232,3262000
3712,0.05,-0.8954882223800934,232,3728000
4176,0.05,-0.895427267381775,232,4194000
4640,0.05,-0.896017752272813,232,4660000
5104,0.05,-0.8960237607417694,232,5126000
5568,0.05,-0.896186508861167,232,5592000
6032,0.05,-0.8961044021821488,232,6058000
6496,0.05,-0.8960911545050055,232,6524000
6960,0.05,-0.896574096078388,232,6990000
7424,0.05,-0.8960882940414684,232,7456000
7888,0.05,-0.8959501022914971,232,7922000
8352,0.05,-0.8964656718905774,232,8388000
8816,0.05,-0.8966755055024174,232,8854000
9280,0.05,-0.89697685008113,232,9320000
9744,0.05,-0.8966196066186833,232,9786000
10208,0.05,-0.8965660468624402,232,10252000
10672,0.05,-0.8970873836457891,232,10718000
11136,0.05,-0.896392775684202,232,11184000
11600,0.05,-0.8955877541123988,232,11650000
12064,0.05,-0.8959771463762738,232,12116000
12528,0.05,-0.8935877970306467,232,12582000
12992,0.05,-0.893622614835099,232,13048000
13456,0.05,-0.8930110499034196,232,13514000
13920,0.05,-0.8930751752323777,232,13980000
14384,0.05,-0.8929829921092767,232,14446000
14848,0.05,-0.8920223465539816,232,14912000
15312,0.05,-0.8922214607081119,232,15378000
15776,0.05,-0.8923746508867667,232,15844000
16240,0.05,-0.8931052460768798,232,16310000
16704,0.05,-0.8933521149837981,232,16776000
17168,0.05,-0.8930516005597772,232,17242000
17632,0.05,-0.8932819439286468,232,17708000
18096,0.05,-0.8928283589230003,232,18174000
18560,0.05,-0.8935737157515795,232,18640000
19024,0.05,-0.8934530235978543,232,19106000
19488,0.05,-0.8936550764711274,232,19572000
19952,0.05,-0.8933862030812943,232,20038000
20416,0.05,-0.8941621737443919,232,20504000
20880,0.05,-0.8943089640109269,232,20970000
21344,0.05,-0.8938610159579924,232,21436000
21808,0.05,-0.8929208481875378,232,21902000
22272,0.05,-0.8932502197346541,232,22368000
22736,0.05,-0.8933173783242372,232,22834000
23200,0.05,-0.8936976163639684,232,23300000
23664,0.05,-0.8936465569506092,232,23766000
24128,0.05,-0.8932752935379296,232,24232000
24592,0.05,-0.8918888887078325,232,24698000
25056,0.05,-0.8924077391747879,232,25164000
25520,0.05,-0.893574595583372,232,25630000
25984,0.05,-0.8937911559117238,232,26096000
26448,0.05,-0.8945528816874857,232,26562000
26912,0.05,-0.8983223005056503,232,27028000
27376,0.05,-0.8960405259296554,232,27494000
27840,0.05,-0.8957304711138613,232,27960000
28304,0.05,-0.8955160604543689,232,28426000
28768,0.05,-0.897710773417317,232,28892000
29232,0.05,-0.8984620095814558,232,29358000
29696,0.05,-0.9015186512750014,232,29824000
30160,0.05,-0.903855064355393,232,30290000
30624,0.05,-0.9047022278736044,232,30756000
31088,0.05,-0.9071676636509308,232,31222000
31552,0.05,-0.907448853595481,232,31688000
32016,0.05,-0.9081789362224427,232,32154000
32480,0.05,-0.9095255482481334,232,32620000
32944,0.05,-0.9119311325565216,232,33086000
33408,0.05,-0.9143425559412308,232,33552000
33872,0.05,-0.917904151802247,232,34018000
34336,0.05,-0.9212747493699852,232,34484000
34800,0.05,-0.9257523833609609,232,34950000
35264,0.05,-0.9296508024841323,232,35416000
35728,0.05,-0.9320622868876273,232,35882000
36192,0.05,-0.9371599734404881,232,36348000
36656,0.05,-0.9428692501527175,232,36814000
37120,0.05,-0.9637655900186818,232,37280000
37584,0.05,-0.973961626743642,232,37746000
38048,0.05,-0.9801791538092001,232,38212000
38512,0.05,-0.9930494455778706,232,38678000
38976,0.05,-1.0069484583842934,232,39144000
39440,0.05,-1.0230251474140308,232,39610000
39904,0.05,-1.0480123486304347,232,40076000
40368,0.05,-1.0792280831330379,232,40542000
40832,0.05,-1.0913398848561506,232,41008000
41296,0.05,-1.1102892133926294,232,41474000
41760,0.05,-1.1440833361422962,232,41940000
42224,0.05,-1.1811400728599892,232,42406000
42688,0.05,-1.2812694165656071,232,42872000
43152,0.05,-1.3638968545633166,232,43338000
43616,0.05,-1.3483700987923943,232,43804000
44080,0.05,-1.2490251216739934,232,44270000
44544,0.05,3.0061744216621555,232,44736000
45008,0.05,286.5093525238822,232,45202000
45472,0.05,-300.9228488164419,232,45668000
45936,0.05,-1.8068677356940506,232,46134000
