Rollouts,Learning Rate,Reward,Samples,Timesteps
0,0.05,-0.8953105658199186,0,0
464,0.05,-0.8953105154869426,232,466000
928,0.05,-0.8953274925604289,232,932000
1392,0.05,-0.8953384000918732,232,1398000
1856,0.05,-0.895610010041959,232,1864000
2320,0.05,-0.8957030825879384,232,2330000
2784,0.05,-0.8955591030357648,232,2796000
3248,0.05,-0.8955387347485947,232,3262000
3712,0.05,-0.8953528775186991,232,3728000
4176,0.05,-0.8956424949013585,232,4194000
4640,0.05,-0.8961568628177071,232,4660000
5104,0.05,-0.8962188644094109,232,5126000
5568,0.05,-0.8963107708678071,232,5592000
6032,0.05,-0.8962330709821134,232,6058000
6496,0.05,-0.8961373194822684,232,6524000
6960,0.05,-0.8963391028312948,232,6990000
7424,0.05,-0.8961951989751268,232,7456000
7888,0.05,-0.8960153533655721,232,7922000
8352,0.05,-0.8960644366693871,232,8388000
8816,0.05,-0.8965473642025478,232,8854000
9280,0.05,-0.8968381767118175,232,9320000
9744,0.05,-0.896729220595704,232,9786000
10208,0.05,-0.896354088283319,232,10252000
10672,0.05,-0.8957933892372877,232,10718000
11136,0.05,-0.8958150500986672,232,11184000
11600,0.05,-0.8953393015282342,232,11650000
12064,0.05,-0.8947999851324533,232,12116000
12528,0.05,-0.8951565558925684,232,12582000
12992,0.05,-0.895300546156748,232,13048000
13456,0.05,-0.8956743913649667,232,13514000
13920,0.05,-0.8954611534569048,232,13980000
14384,0.05,-0.89596123633578,232,14446000
14848,0.05,-0.8953655677495949,232,14912000
15312,0.05,-0.8950680955770985,232,15378000
15776,0.05,-0.895077245226546,232,15844000
16240,0.05,-0.8951479911778132,232,16310000
16704,0.05,-0.8950314265298468,232,16776000
17168,0.05,-0.8944283573312967,232,17242000
17632,0.05,-0.8947536906332396,232,17708000
18096,0.05,-0.8957596192029901,232,18174000
18560,0.05,-0.8955690185506743,232,18640000
19024,0.05,-0.8953257849077156,232,19106000
19488,0.05,-0.8950656590834501,232,19572000
19952,0.05,-0.895229080790945,232,20038000
20416,0.05,-0.8959080793988135,232,20504000
20880,0.05,-0.8966056685573821,232,20970000
21344,0.05,-0.8967847640566339,232,21436000
21808,0.05,-0.8969544164515816,232,21902000
22272,0.05,-0.8967273980615489,232,22368000
22736,0.05,-0.8961149270850411,232,22834000
23200,0.05,-0.8962834143151694,232,23300000
23664,0.05,-0.8965553008216194,232,23766000
24128,0.05,-0.8963620151199224,232,24232000
24592,0.05,-0.8960571153720188,232,24698000
25056,0.05,-0.894838532809571,232,25164000
25520,0.05,-0.8954585170426258,232,25630000
25984,0.05,-0.8958297474428025,232,26096000
26448,0.05,-0.8960928383703579,232,26562000
26912,0.05,-0.8965014638635392,232,27028000
27376,0.05,-0.897289196211361,232,27494000
27840,0.05,-0.8970797074644179,232,27960000
28304,0.05,-0.8959119285271484,232,28426000
28768,0.05,-0.8962791078170926,232,28892000
29232,0.05,-0.896122644453047,232,29358000
29696,0.05,-0.8964004082654218,232,29824000
30160,0.05,-0.8964583784364245,232,30290000
30624,0.05,-0.8962990294997049,232,30756000
31088,0.05,-0.8964723392584926,232,31222000
31552,0.05,-0.8944533471950313,232,31688000
32016,0.05,-0.8944074056142883,232,32154000
32480,0.05,-0.8943009848853136,232,32620000
32944,0.05,-0.8944526462854071,232,33086000
33408,0.05,-0.8943568336035613,232,33552000
33872,0.05,-0.8951868904656468,232,34018000
34336,0.05,-0.8946461806560784,232,34484000
34800,0.05,-0.894296795272472,232,34950000
35264,0.05,-0.8942110878904242,232,35416000
35728,0.05,-0.8933711730914451,232,35882000
36192,0.05,-0.892829122292426,232,36348000
36656,0.05,-0.8915232862156394,232,36814000
37120,0.05,-0.8923458961525408,232,37280000
37584,0.05,-0.8910562589335922,232,37746000
38048,0.05,-0.891469660602153,232,38212000
38512,0.05,-0.8914022600188288,232,38678000
38976,0.05,-0.8908243869841136,232,39144000
39440,0.05,-0.890288754234565,232,39610000
39904,0.05,-0.8893880196306726,232,40076000
40368,0.05,-0.890045625751787,232,40542000
40832,0.05,-0.8900442892251575,232,41008000
41296,0.05,-0.8896065966515428,232,41474000
41760,0.05,-0.8905177898083205,232,41940000
42224,0.05,-0.8903706699742653,232,42406000
42688,0.05,-0.8910617003558295,232,42872000
43152,0.05,-0.8916327830919342,232,43338000
43616,0.05,-0.8918325161040056,232,43804000
44080,0.05,-0.8920653312836248,232,44270000
44544,0.05,-0.8914711282492935,232,44736000
45008,0.05,-0.8912769992170771,232,45202000
45472,0.05,-0.8911967578266662,232,45668000
45936,0.05,-0.890635876949415,232,46134000
