Rollouts,Learning Rate,Reward,Samples,Timesteps
0,0.25,-284.4972220007118,0,0
464,0.25,274.04222561550256,232,466000
928,0.25,421.56170917966426,232,933000
1392,0.25,449.41728337564206,232,1400000
1856,0.25,586.0487829967061,232,1876000
2320,0.25,342.0486423043938,232,2376000
2784,0.25,391.0776884130829,232,2843000
3248,0.25,471.0997262647316,232,3309000
3712,0.25,511.3564425655129,232,3777000
4176,0.25,550.3067705145016,232,4247000
4640,0.25,174.67921353033145,232,4747000
5104,0.25,548.7375980787024,232,5214000
5568,0.25,467.6313792458826,232,5714000
6032,0.25,516.5141738674769,232,6193000
6496,0.25,542.4085382057078,232,6666000
6960,0.25,101.5499026727944,232,7166000
7424,0.25,287.0681367877427,232,7634000
7888,0.25,319.248271023912,232,8100000
8352,0.25,426.0485809932534,232,8566000
8816,0.25,427.3345195087256,232,9033000
9280,0.25,508.50366792492525,232,9499000
9744,0.25,601.9219326143439,232,9968000
10208,0.25,223.82454079856,232,10468000
10672,0.25,344.65240328201554,232,10934000
11136,0.25,354.38544868394933,232,11405000
11600,0.25,459.5283253062543,232,11873000
12064,0.25,486.56633177847846,232,12341000
12528,0.25,485.1612109066523,232,12841000
12992,0.25,611.200532859723,232,13319000
13456,0.25,296.0101631755196,232,13819000
13920,0.25,334.5003550445955,232,14286000
14384,0.25,526.878220275204,232,14753000
14848,0.25,557.8921868529804,232,15243000
15312,0.25,404.2101416519359,232,15743000
15776,0.25,479.254412740556,232,16217000
16240,0.25,483.44905033311073,232,16688000
16704,0.25,518.1143712427748,232,17158000
17168,0.25,566.7107132015897,232,17631000
17632,0.25,401.4201221545429,232,18131000
18096,0.25,523.5418020555554,232,18600000
18560,0.25,541.9266102280576,232,19078000
19024,0.25,338.78463282798697,232,19578000
19488,0.25,405.73770027378697,232,20044000
19952,0.25,552.2778973568703,232,20515000
20416,0.25,376.740432825186,232,21015000
20880,0.25,378.29385243577946,232,21484000
21344,0.25,415.22907241353494,232,21951000
21808,0.25,431.32758170356897,232,22423000
22272,0.25,471.20949157713494,232,22893000
22736,0.25,532.6190080839323,232,23362000
23200,0.25,568.040905905694,232,23850000
23664,0.25,577.0031392242593,232,24336000
24128,0.25,656.7648991361423,232,24813000
24592,0.25,338.79023423907,232,25313000
25056,0.25,439.8193798765455,232,25780000
25520,0.25,532.6584867440909,232,26247000
25984,0.25,345.7479822462932,232,26747000
26448,0.25,349.2571714597701,232,27214000
26912,0.25,414.56876786498054,232,27681000
27376,0.25,438.3308696161042,232,28150000
27840,0.25,493.55876548942126,232,28621000
28304,0.25,554.3624246728997,232,29098000
28768,0.25,473.77207484369205,232,29598000
29232,0.25,546.325332665903,232,30078000
29696,0.25,569.8236195312543,232,30566000
30160,0.25,211.63813973088946,232,31066000
30624,0.25,329.60701056842083,232,31532000
31088,0.25,395.70322587895555,232,32002000
31552,0.25,440.8621004316909,232,32469000
32016,0.25,286.65414374727754,232,32969000
32480,0.25,319.77668689820547,232,33437000
32944,0.25,338.6261113720333,232,33906000
33408,0.25,422.643316858775,232,34372000
33872,0.25,490.0206845943947,232,34848000
34336,0.25,531.0046820876099,232,35319000
34800,0.25,431.99523718345597,232,35819000
35264,0.25,458.8945674034299,232,36292000
35728,0.25,524.7642887820247,232,36760000
36192,0.25,610.9813286062445,232,37252000
36656,0.25,454.2842475889879,232,37752000
37120,0.25,462.95803607229016,232,38219000
37584,0.25,533.4705838119526,232,38692000
38048,0.25,330.72781475964916,232,39192000
38512,0.25,370.16950549701767,232,39659000
