Rollouts,Learning Rate,Reward,Samples,Timesteps
0,9.313225746154785e-10,-1092.5809714276372,0,0
408,9.313225746154785e-10,-589.9409911089465,204,410000
816,9.313225746154785e-10,-588.2421439682566,204,823000
1224,9.313225746154785e-10,-516.4718403387805,204,1237000
1632,9.313225746154785e-10,-498.1431042987379,204,1670000
2040,9.313225746154785e-10,-478.0979085819483,204,2088000
2448,9.313225746154785e-10,-466.4196602922963,204,2505000
2856,9.313225746154785e-10,-413.94148958495714,204,2930000
